#Organism/Name,Group,SubGroup,Type,RefSeq,INSDC,Size (Kb),GC%,Protein,rRNA,tRNA,Other RNA,Gene,Pseudogene,Release Date,Modify Date
"Accipiter gentilis","Animals","Birds",mitochondrion,NC_011818.1,AP010797,18.266,44.1147,13,2,22,-,13,-,2009/01/05,2012/09/14
"Accipiter nisus","Animals","Birds",mitochondrion,NC_025580.1,KM360148,18.647,43.0364,13,2,22,-,13,-,2014/11/14,2014/12/15
"Accipiter virgatus","Animals","Birds",mitochondrion,NC_026082.1,KJ699124,17.952,45.0479,13,2,22,-,13,-,2015/01/10,2015/02/13
"Acentrogobius chlorostigmatoides","Animals","Fishes",mitochondrion,NC_020346.1,KC196074,17.098,44.6485,13,2,22,-,13,-,2013/02/25,2014/01/14
"Acentrogobius pflaumii","Animals","Fishes",mitochondrion,NC_018064.1,JX029961,16.515,47.6597,13,2,22,-,13,-,2012/06/13,2012/12/21
"Acer davidii","Plants","Land Plants",chloroplast,NC_030331.1,KU977442,157.044,37.941,86,8,40,-,136,2,2016/06/17,2016/06/17
"Acer miaotaiense","Plants","Land Plants",chloroplast,NC_030343.1,KX098452,156.595,37.885,89,8,40,-,137,-,2016/06/17,2016/06/17
"Acer morrisonense","Plants","Land Plants",chloroplast,NC_029371.1,KT970611,157.197,37.8188,86,8,40,-,136,2,2016/03/01,2016/03/01
"Acerella muscorum","Animals","Insects",mitochondrion,NC_026675.1,KJ101608,15.018,18.7042,13,2,21,-,13,-,2015/03/17,2015/04/22
"Acerentomon microrhinus","Animals","Insects",mitochondrion,NC_026666.1,JQ728012,15.213,28.6005,13,2,22,-,13,-,2015/03/17,2015/04/22
"Aceros waldeni","Animals","Birds",mitochondrion,NC_015085.1,HQ834450,21.657,44.9831,14,2,25,-,14,-,2011/02/07,2011/02/18
"Acestrorhynchus sp. NM-2010","Animals","Fishes",mitochondrion,NC_015755.1,AP011981,16.758,42.7199,13,2,22,-,13,-,2011/07/06,2016/06/10
"Acetes chinensis","Animals","Other Animals",mitochondrion,NC_017600.1,JN689221,15.74,29.371,13,2,23,-,13,-,2012/04/11,2012/04/24
"Achalarus lyciades","Animals","Insects",mitochondrion,NC_030602.1,KX249739,15.612,18.1015,13,2,22,-,37,-,2016/07/12,2016/07/21
"Achalinus meiguensis","Animals","Reptiles",mitochondrion,NC_011576.1,FJ424614,17.239,45.6697,13,2,22,-,13,-,2008/11/14,2008/11/19
"Achalinus rufescens","Animals","Reptiles",mitochondrion,NC_032085.1,KT897595,17.339,42.6841,13,2,22,-,37,-,2016/12/07,2017/01/04
"Achalinus spinalis","Animals","Reptiles",mitochondrion,NC_032084.1,KT897594,17.165,44.3227,13,2,22,-,37,-,2016/12/07,2017/01/04
"Achatina fulica","Animals","Other Animals",mitochondrion,NC_024601.1,KJ744205,15.057,36.5544,13,2,22,-,13,-,2014/07/28,2014/08/28
"Achatinella mustelina","Animals","Other Animals",mitochondrion,NC_030190.1,KU525108,16.323,19.9289,13,2,22,-,37,-,2016/05/19,2016/05/31
"Acheilognathus barbatus","Animals","Fishes",mitochondrion,NC_026872.1,KP067832,16.77,44.025,13,2,22,-,37,-,2015/04/22,2015/06/02
"Acheilognathus intermedia","Animals","Fishes",mitochondrion,NC_013705.1,EF483933,16.61,45.5689,13,2,22,-,13,-,2010/01/05,2013/09/12
"Acheilognathus macropterus","Animals","Fishes",mitochondrion,NC_013711.1,EF483935,16.774,42.6493,13,2,22,-,13,-,2010/01/05,2014/04/01
"Acheilognathus majusculus","Animals","Fishes",mitochondrion,NC_028736.1,LC006056,17.155,43.1478,13,3,25,-,41,-,2015/12/17,2016/02/12
"Acheilognathus meridianus","Animals","Fishes",mitochondrion,NC_031152.1,KT692966,16.563,42.118,13,2,22,-,37,-,2016/09/23,2016/10/12
"Acheilognathus rhombeus","Animals","Fishes",mitochondrion,NC_028433.1,KT601094,16.78,43.1108,13,2,22,-,37,-,2015/11/17,2015/12/07
"Acheilognathus signifer","Animals","Fishes",mitochondrion,NC_013702.1,EF483930,16.566,45.3761,13,2,22,-,13,-,2010/01/05,2010/01/13
"Acheilognathus somjinensis","Animals","Fishes",mitochondrion,NC_014882.1,FJ515921,16.569,44.5772,13,2,22,-,13,-,2011/01/07,2014/03/27
"Acheilognathus typus","Animals","Fishes",mitochondrion,NC_008668.1,AB239602,16.778,43.0325,13,2,22,-,13,-,2006/12/12,2006/12/18
"Acheilognathus yamatsutae","Animals","Fishes",mitochondrion,NC_013712.1,EF483936,16.703,43.3216,13,2,22,-,13,-,2010/01/05,2013/11/19
"Achelia bituberculata","Animals","Other Animals",mitochondrion,NC_009724.1,AY457170,15.474,22.9611,13,2,22,-,13,-,2007/08/02,2007/12/10
"Achirus lineatus","Animals","Fishes",mitochondrion,NC_023768.1,JQ639067,16.577,45.9492,13,2,22,-,13,-,2014/03/13,2016/06/09
"Achlya hypogyna","Protists","Other Protists",mitochondrion,NC_022178.1,KF226724,46.84,22.3783,43,4,29,-,76,-,2013/09/12,2016/07/07
"Acidosasa purpurea","Plants","Land Plants",chloroplast,NC_015820.1,HQ337793,139.697,38.897,82,8,38,-,128,-,2011/07/15,2011/07/15
"Acinonyx jubatus","Animals","Mammals",mitochondrion,NC_005212.1,AF344830,17.047,39.3735,13,2,22,-,13,-,2003/11/17,2010/02/01
"Acioa guianensis","Plants","Land Plants",chloroplast,NC_030534.1,KX158870,162.329,36.2012,83,8,37,-,130,2,2016/07/13,2016/07/13
"Acipenser baerii","Animals","Fishes",mitochondrion,NC_017603.1,JQ045341,16.763,45.3379,13,2,22,-,13,-,2012/04/11,2012/04/23
"Acipenser brevirostrum","Animals","Fishes",mitochondrion,NC_032715.1,KX817302,16.68,45.5396,13,2,22,-,37,-,2017/01/05,2017/01/27
"Acipenser dabryanus","Animals","Fishes",mitochondrion,NC_005451.1,AY510085,16.438,46.1005,13,2,22,-,13,-,2004/02/19,2007/03/19
"Acipenser fulvescens","Animals","Fishes",mitochondrion,NC_030325.1,KU985070,16.542,45.8167,13,2,22,-,37,-,2016/06/17,2016/06/17
"Acipenser gueldenstaedtii","Animals","Fishes",mitochondrion,NC_012576.1,FJ392605,16.594,45.5647,13,2,22,-,37,-,2009/04/20,2010/03/26
"Acipenser medirostris","Animals","Fishes",mitochondrion,NC_028405.1,KM591217,16.611,45.4699,13,2,22,-,37,-,2015/11/17,2015/12/07
"Acipenser mikadoi","Animals","Fishes",mitochondrion,NC_031188.1,KX276658,16.61,45.4786,13,2,22,-,37,-,2016/09/23,2016/10/12
"Acipenser nudiventris","Animals","Fishes",mitochondrion,NC_030344.1,KU321568,16.543,46.0134,13,2,22,-,37,-,2016/06/17,2016/06/17
"Acipenser oxyrinchus","Animals","Fishes",mitochondrion,NC_028290.1,KP013103,16.565,45.6263,13,2,22,-,37,-,2015/11/05,2015/11/17
"Acipenser ruthenus","Animals","Fishes",mitochondrion,NC_022453.1,KF153104,16.79,45.2412,13,2,22,-,13,-,2013/09/26,2013/11/14
"Acipenser schrenckii","Animals","Fishes",mitochondrion,NC_021757.1,KC905169,16.684,45.8044,13,2,22,-,13,-,2013/07/18,2014/09/17
"Acipenser schrenckii x Huso dauricus","Animals","Fishes",mitochondrion,NC_027522.1,KR059905,16.687,45.7662,13,2,22,-,37,-,2015/07/14,2015/07/27
"Acipenser sinensis","Animals","Fishes",mitochondrion,NC_012646.1,EU719645,16.682,45.4442,13,2,22,-,13,-,2009/05/01,2009/05/11
"Acipenser stellatus","Animals","Fishes",mitochondrion,NC_005795.1,AJ585050,16.537,45.9999,13,2,22,-,13,-,2004/03/12,2009/05/11
"Acipenser sturio","Animals","Fishes",mitochondrion,NC_027417.1,KP997216,16.555,45.4545,13,2,22,-,37,-,2015/06/24,2015/07/13
"Acipenser transmontanus","Animals","Fishes",mitochondrion,NC_004743.1,AB042837,16.692,45.8363,13,2,22,-,13,-,2003/04/23,2006/10/18
"Acleris fimbriana","Animals","Insects",mitochondrion,NC_018754.1,HQ662522,15.933,19.0485,13,2,22,-,13,-,2012/10/12,2012/10/17
"Acmaeodera sp. NCS-2009","Animals","Insects",mitochondrion,NC_013580.1,FJ613420,16.217,31.5903,13,2,22,-,37,-,2009/12/04,2009/12/18
"Acnistus arborescens","Plants","Land Plants",chloroplast,NC_030185.1,KU568472,156.898,37.6773,84,8,36,-,131,3,2016/05/19,2016/05/19
"Acnistus arborescens x Iochroma cyaneum","Plants","Land Plants",chloroplast,NC_030056.1,KU306735,156.841,37.6796,83,8,37,-,131,3,2016/05/04,2016/05/04
"Acoelorraphe wrightii","Plants","Land Plants",plastid,NC_029973.1,KT312941,158.503,37.3135,86,8,38,-,133,1,2016/04/20,2016/04/20
"Acomys cahirinus","Animals","Mammals",mitochondrion,NC_020758.1,JN571155,16.217,40.6055,13,2,22,-,13,-,2013/03/25,2014/03/28
"Aconitum austrokoreense","Plants","Land Plants",chloroplast,NC_031410.1,KT820663,155.682,38.1149,85,8,37,-,132,2,2016/10/13,2016/10/13
"Aconitum carmichaelii","Plants","Land Plants",chloroplast,NC_030761.1,KX347251,155.737,38.1387,84,8,37,-,130,1,2016/08/16,2016/08/16
"Aconitum chiisanense","Plants","Land Plants",chloroplast,NC_029829.1,KT820665,155.934,38.1039,85,8,37,-,132,2,2016/04/09,2016/04/09
"Aconitum ciliare","Plants","Land Plants",chloroplast,NC_031420.1,KT820666,155.832,38.1359,85,8,37,-,132,2,2016/10/13,2016/10/13
"Aconitum coreanum","Plants","Land Plants",chloroplast,NC_031421.1,KT820667,157.029,37.9987,86,8,37,-,132,1,2016/10/13,2016/10/13
"Aconitum kusnezoffii","Plants","Land Plants",chloroplast,NC_031422.1,KT820671,155.862,38.1312,85,8,37,-,132,2,2016/10/13,2016/10/13
"Aconitum monanthum","Plants","Land Plants",chloroplast,NC_031423.1,KT820672,155.688,38.1115,85,8,37,-,132,2,2016/10/13,2016/10/13
"Acorus americanus","Plants","Land Plants",chloroplast,NC_010093.1,EU273602,153.819,38.5934,84,8,38,-,132,2,2007/12/04,2011/04/29
"Acorus calamus","Plants","Land Plants",plastid,NC_007407.1,AJ879453,153.821,38.5988,84,8,38,-,130,-,2005/09/09,2009/04/15
"Acorus gramineus","Plants","Land Plants",plastid,NC_026299.1,KP099646,152.849,38.7016,84,8,38,-,131,1,2015/02/13,2015/11/22
"Acraea acerata","Animals","Insects",mitochondrion,NC_029498.1,KT371360,15.281,20.2932,13,-,22,-,35,-,2016/03/01,2016/03/10
"Acraea alcinoe","Animals","Insects",mitochondrion,NC_029511.1,KT371373,15.729,22.8749,13,-,22,-,35,-,2016/03/01,2016/03/10
"Acraea bonasia","Animals","Insects",mitochondrion,NC_029502.1,KT371364,15.29,21.2361,13,-,22,-,35,-,2016/03/01,2016/03/10
"Acraea circeis","Animals","Insects",mitochondrion,NC_029500.1,KT371362,15.235,22.7831,13,-,22,-,35,-,2016/03/01,2016/03/10
"Acraea egina","Animals","Insects",mitochondrion,NC_029497.1,KT371359,15.405,19.7793,13,-,22,-,35,-,2016/03/01,2016/03/10
"Acraea epaea","Animals","Insects",mitochondrion,NC_029506.1,KT371368,15.712,20.7867,13,-,22,-,35,-,2016/03/01,2016/03/10
"Acraea issoria","Animals","Insects",mitochondrion,NC_013604.1,GQ376195,15.245,20.2427,13,2,23,-,13,-,2009/12/14,2010/10/21
"Acraea jodutta","Animals","Insects",mitochondrion,NC_029496.1,KT371358,15.272,21.8046,13,-,22,-,35,-,2016/03/01,2016/03/10
"Acraea kalinzu","Animals","Insects",mitochondrion,NC_029514.1,KT371376,15.26,23.1979,13,-,22,-,35,-,2016/03/01,2016/03/10
"Acraea lycoa","Animals","Insects",mitochondrion,NC_029508.1,KT371370,15.19,22.2383,13,-,22,-,35,-,2016/03/01,2016/03/10
"Acraea parrhasia","Animals","Insects",mitochondrion,NC_029512.1,KT371374,15.261,22.6001,13,-,22,-,35,-,2016/03/01,2016/03/10
"Acraea penelope","Animals","Insects",mitochondrion,NC_029505.1,KT371367,15.271,23.024,13,-,22,-,35,-,2016/03/01,2016/03/10
"Acraea perenna","Animals","Insects",mitochondrion,NC_029507.1,KT371369,15.315,22.9514,13,-,22,-,35,-,2016/03/01,2016/03/10
"Acraea pharsalus","Animals","Insects",mitochondrion,NC_029501.1,KT371363,15.224,20.98,13,-,22,-,35,-,2016/03/01,2016/03/10
"Acraea poggei","Animals","Insects",mitochondrion,NC_029504.1,KT371366,15.361,19.9987,13,-,22,-,35,-,2016/03/01,2016/03/10
"Acraea polis","Animals","Insects",mitochondrion,NC_029509.1,KT371371,15.254,23.9872,13,-,22,-,35,-,2016/03/01,2016/03/10
"Acraea rogersi","Animals","Insects",mitochondrion,NC_029503.1,KT371365,15.274,19.2222,13,-,22,-,35,-,2016/03/01,2016/03/10
"Acraea serena","Animals","Insects",mitochondrion,NC_029510.1,KT371372,15.258,20.5335,13,-,22,-,35,-,2016/03/01,2016/03/10
"Acraea vestalis","Animals","Insects",mitochondrion,NC_029513.1,KT371375,15.35,20.3388,13,-,22,-,35,-,2016/03/01,2016/03/10
"Acraea zetes","Animals","Insects",mitochondrion,NC_029499.1,KT371361,15.228,18.6696,13,-,22,-,35,-,2016/03/01,2016/03/10
"Acrasis kona ATCC MYA-3509","Protists","Other Protists",mitochondrion,NC_026286.1,KJ679272,51.458,16.7496,37,2,13,-,52,-,2015/02/13,2015/02/13
"Acreichthys tomentosus","Animals","Fishes",mitochondrion,NC_011950.1,AP009213,16.446,43.275,13,2,22,-,13,-,2009/01/22,2009/02/06
"Acremonium chrysogenum ATCC 11550","Fungi","Ascomycetes",mitochondrion,NC_023268.1,KF757229,27.266,26.5422,17,2,26,-,45,-,2014/01/02,2014/01/02
"Acremonium chrysogenum ATCC 11550","Fungi","Ascomycetes",mitochondrion,-,JPKY01000541,27.31,26.5471,2,-,18,-,20,-,2014/08/15,2014/08/26
"Acremonium fuci 3a34","Fungi","Ascomycetes",mitochondrion,NC_029851.1,KR864757,24.565,28.7767,15,2,28,-,45,-,2016/04/09,2016/07/28
"Acrida cinerea","Animals","Insects",mitochondrion,NC_014887.1,GU344100,15.599,23.931,13,2,22,-,13,-,2011/01/06,2011/03/02
"Acrida willemsei","Animals","Insects",mitochondrion,NC_011303.1,EU938372,15.601,23.7805,13,2,22,-,35,-,2008/09/30,2008/10/06
"Acridotheres cristatellus","Animals","Birds",mitochondrion,NC_015613.1,JF810423,16.82,47.6576,13,2,22,-,13,-,2011/06/01,2011/06/03
"Acridotheres tristis","Animals","Birds",mitochondrion,NC_015195.1,HQ915864,16.822,48.0086,13,2,22,-,13,-,2011/03/03,2011/03/04
"Acrocephalus scirpaceus","Animals","Birds",mitochondrion,NC_010227.1,AM889139,17.903,47.9026,13,2,22,-,37,-,2008/01/04,2009/04/15
"Acrochordus granulatus","Animals","Reptiles",mitochondrion,NC_007400.1,AB177879,17.604,36.3156,13,2,22,-,13,-,2005/09/09,2009/04/15
"Acroneuria hainana","Animals","Insects",mitochondrion,NC_026104.1,KM199685,15.804,37.3829,13,2,22,-,13,-,2015/01/10,2015/02/04
"Acropora aculeus","Animals","Other Animals",mitochondrion,NC_029251.1,KT001202,18.528,38.2772,13,2,2,-,17,-,2016/02/12,2016/03/02
"Acropora aspera","Animals","Other Animals",mitochondrion,NC_022827.1,KF448532,18.479,38.1189,13,2,2,-,13,-,2013/11/19,2013/12/18
"Acropora digitifera","Animals","Other Animals",mitochondrion,NC_022830.1,KF448535,18.479,38.1406,13,2,2,-,13,-,2013/11/19,2013/12/18
"Acropora divaricata","Animals","Other Animals",mitochondrion,NC_022832.1,KF448537,18.481,38.1527,13,2,2,-,13,-,2013/11/19,2013/12/18
"Acropora florida","Animals","Other Animals",mitochondrion,NC_022828.1,KF448533,18.365,38.0506,13,2,2,-,13,-,2013/11/19,2013/12/18
"Acropora horrida","Animals","Other Animals",mitochondrion,NC_022825.1,KF448530,18.48,38.2035,13,2,2,-,13,-,2013/11/19,2013/12/18
"Acropora humilis","Animals","Other Animals",mitochondrion,NC_022823.1,KF448528,18.479,38.1298,13,2,2,-,13,-,2013/11/19,2013/12/18
"Acropora hyacinthus","Animals","Other Animals",mitochondrion,NC_022826.1,KF448531,18.566,38.145,13,2,2,-,13,-,2013/11/19,2013/12/18
"Acropora muricata","Animals","Other Animals",mitochondrion,NC_022824.1,KF448529,18.481,38.1365,13,2,2,-,13,-,2013/11/19,2013/12/18
"Acropora nasuta","Animals","Other Animals",mitochondrion,NC_022831.1,KF448536,18.481,38.1094,13,2,2,-,13,-,2013/11/19,2013/12/18
"Acropora robusta","Animals","Other Animals",mitochondrion,NC_022833.1,KF448538,18.48,38.1331,13,2,2,-,13,-,2013/11/19,2013/12/18
"Acropora tenuis","Animals","Other Animals",mitochondrion,NC_003522.1,AF338425,18.338,37.9594,13,2,2,-,13,-,2002/04/03,2009/04/15
"Acropora yongei","Animals","Other Animals",mitochondrion,NC_022829.1,KF448534,18.342,37.9512,13,2,2,-,13,-,2013/11/19,2013/12/18
"Acrossocheilus barbodon","Animals","Fishes",mitochondrion,NC_022184.1,KF113879,16.596,44.0769,13,2,22,-,13,-,2013/08/27,2013/11/14
"Acrossocheilus beijiangensis","Animals","Fishes",mitochondrion,NC_028206.1,KT428616,16.6,43.8554,13,2,22,-,37,-,2015/11/01,2015/11/17
"Acrossocheilus hemispinus","Animals","Fishes",mitochondrion,NC_022183.1,KF113878,16.59,44.1471,13,2,22,-,13,-,2013/08/27,2013/11/14
"Acrossocheilus iridescens","Animals","Fishes",mitochondrion,NC_031551.1,AP011242,16.596,44.0648,13,2,22,-,37,-,2016/10/21,2016/11/17
"Acrossocheilus kreyenbergii","Animals","Fishes",mitochondrion,NC_024844.1,KJ817184,16.849,43.4091,13,2,22,-,13,-,2014/09/17,2014/10/16
"Acrossocheilus monticola","Animals","Fishes",mitochondrion,NC_022145.1,KC788747,16.599,44.0448,13,2,22,-,13,-,2013/08/27,2014/09/17
"Acrossocheilus paradoxus","Animals","Fishes",mitochondrion,NC_029453.1,KT991436,16.597,45.1648,13,2,22,-,37,-,2016/03/01,2016/03/11
"Acrossocheilus parallens","Animals","Fishes",mitochondrion,NC_026973.1,KP274878,16.592,44.3346,13,2,22,-,37,-,2015/05/05,2015/06/02
"Acrossocheilus stenotaeniatus","Animals","Fishes",mitochondrion,NC_024934.1,KJ909660,16.594,44.0882,13,2,22,-,13,-,2014/09/24,2014/10/16
"Acrossocheilus wenchowensis","Animals","Fishes",mitochondrion,NC_020145.1,KC161586,16.591,43.9817,13,2,22,-,13,-,2013/01/17,2013/05/24
"Acrossocheilus yunnanensis","Animals","Fishes",mitochondrion,NC_028527.1,KT756206,16.588,43.9474,13,2,22,-,37,-,2015/12/03,2015/12/07
"Acryllium vulturinum","Animals","Birds",mitochondrion,NC_014180.1,FJ752436,16.748,45.8264,13,2,22,-,13,-,2010/05/27,2010/06/30
"Actias selene","Animals","Insects",mitochondrion,NC_018133.1,JX186589,15.236,21.0882,13,2,22,-,13,-,2012/07/10,2012/07/13
"Actinidia chinensis","Plants","Land Plants",chloroplast,NC_026690.1,KP297242,156.346,37.1963,83,8,40,-,131,-,2015/03/27,2015/08/04
"Actinidia deliciosa","Plants","Land Plants",chloroplast,NC_026691.1,KP297244,156.741,37.1613,83,8,39,-,130,-,2015/03/20,2015/08/04
"Actinidia polygama","Plants","Land Plants",chloroplast,NC_031186.1,KX345297,156.583,37.2454,83,8,40,-,131,-,2016/09/23,2016/09/23
"Actinidia tetramera","Plants","Land Plants",chloroplast,NC_031187.1,KX345298,157.659,37.0331,83,8,40,-,131,-,2016/09/23,2016/09/23
"Aculamprotula tientsinensis","Animals","Other Animals",mitochondrion,NC_029210.1,KR873102,15.695,36.7442,14,2,22,-,38,-,2016/02/12,2016/03/02
"Acyrthosiphon pisum 5A","Animals","Insects",mitochondrion,NC_011594.1,FJ411411,16.971,15.2672,13,2,23,-,13,-,2008/11/21,2008/12/11
"Addax nasomaculatus","Animals","Mammals",mitochondrion,NC_020674.1,JN632591,16.751,39.3947,13,2,22,-,13,-,2013/03/25,2013/04/17
"Adelium sp. NCS-2009","Animals","Insects",mitochondrion,NC_013554.1,FJ613422,16.449,27.2722,13,2,22,-,37,-,2009/12/04,2009/12/18
"Adelphocoris fasciaticollis","Animals","Insects",mitochondrion,NC_023796.1,KJ001714,15.434,22.6059,13,2,22,-,13,-,2014/03/13,2014/03/13
"Adelphocoris lineolatus","Animals","Insects",mitochondrion,NC_027143.1,KJ020286,15.595,22.9048,13,2,22,-,37,-,2015/06/02,2015/06/24
"Adelphocoris nigritylus","Animals","Insects",mitochondrion,NC_027144.1,KJ020287,14.522,22.7723,13,2,22,-,37,-,2015/06/02,2015/06/24
"Adenophora remotiflora","Plants","Land Plants",chloroplast,NC_026999.1,KP889213,171.724,38.7552,82,8,37,-,140,13,2015/05/05,2015/05/05
"Adiantum capillus-veneris","Plants","Land Plants",chloroplast,NC_004766.1,AY178864,150.568,42.0069,87,8,35,-,130,-,2003/05/05,2010/03/26
"Adoxophyes honmai","Animals","Insects",mitochondrion,NC_008141.1,DQ073916,15.68,19.6046,13,2,22,-,13,-,2006/06/12,2006/06/15
"Adoxophyes orana","Animals","Insects",mitochondrion,NC_021396.1,JX872403,15.343,20.0417,13,2,22,-,13,-,2013/06/10,2013/06/26
